x,y
1.29E+07,0.976811395
1.29E+07,0.976897555
1.29E+07,0.976926646
1.29E+07,0.976949033
1.29E+07,0.976967961
1.29E+07,0.976984684
1.29E+07,0.976999842
1.29E+07,0.977026855
1.29E+07,0.977039129
1.29E+07,0.977050764
1.29E+07,0.977072474
1.29E+07,0.977111255
1.29E+07,0.977120207
1.29E+07,0.977128917
1.29E+07,0.977145683
1.29E+07,0.977177032
1.29E+07,0.977233248
1.29E+07,0.977239802
1.29E+07,0.977246267
1.29E+07,0.977258946
1.29E+07,0.977283399
1.29E+07,0.977329271
1.29E+07,0.977412027
1.29E+07,0.977417294
1.29E+07,0.977422525
1.29E+07,0.977432879
1.29E+07,0.977453184
1.29E+07,0.977492338
1.29E+07,0.977565819
1.29E+07,0.977698496
1.29E+07,0.977702139
1.29E+07,0.977705771
1.29E+07,0.977713001
1.29E+07,0.97772733
1.29E+07,0.97775548
1.29E+07,0.977809887
1.30E+07,0.977911892
1.30E+07,0.977914883
1.30E+07,0.977917866
1.30E+07,0.97792381
1.30E+07,0.977935607
1.30E+07,0.977958835
1.30E+07,0.978003843
1.30E+07,0.978088036
1.30E+07,0.978090751
1.30E+07,0.978093457
1.30E+07,0.97809884
1.30E+07,0.978109494
1.30E+07,0.978130342
1.30E+07,0.978170138
1.30E+07,0.978172538
1.30E+07,0.978174928
1.30E+07,0.978179676
1.30E+07,0.978189044
1.30E+07,0.978207256
1.30E+07,0.978241485
1.30E+07,0.978243388
1.30E+07,0.978245279
1.30E+07,0.97824903
1.30E+07,0.978256399
1.30E+07,0.978270599
1.30E+07,0.978272322
1.30E+07,0.978274034
1.30E+07,0.978277421
1.30E+07,0.978284053
1.30E+07,0.978296726
1.30E+07,0.978298254
1.30E+07,0.978299768
1.30E+07,0.978302759
1.31E+07,0.978308582
1.31E+07,0.978319581
1.31E+07,0.978320893
1.31E+07,0.978322192
1.31E+07,0.978324746
1.31E+07,0.97832968
1.31E+07,0.978338833
1.31E+07,0.978339997
1.31E+07,0.978341144
1.31E+07,0.978343381
1.31E+07,0.978347628
1.31E+07,0.978348642
1.31E+07,0.978349637
1.31E+07,0.978351567
1.31E+07,0.978355189
1.31E+07,0.978356044
1.31E+07,0.978356878
1.31E+07,0.978358484
1.31E+07,0.978359256
1.31E+07,0.978360007
1.31E+07,0.978361444
1.31E+07,0.978362131
1.31E+07,0.978362795
1.31E+07,0.978364059
1.31E+07,0.978366317
1.31E+07,0.978366825
1.31E+07,0.97836731
1.31E+07,0.97836821
1.31E+07,0.978368625
1.31E+07,0.978369016
1.31E+07,0.978369726
1.31E+07,0.978370045
1.31E+07,0.97837034
1.31E+07,0.978370609
1.31E+07,0.978370855
1.31E+07,0.978371075
1.31E+07,0.97837127
1.31E+07,0.978371439
1.31E+07,0.978371583
1.31E+07,0.978371702
1.31E+07,0.978371794
1.31E+07,0.978371861
1.31E+07,0.978371901
1.31E+07,0.978371914
1.31E+07,0.978371901
1.31E+07,0.978371861
1.31E+07,0.978371794
1.31E+07,0.9783717
1.31E+07,0.978371578
1.31E+07,0.978371429
1.31E+07,0.978371251
1.31E+07,0.978371046
1.31E+07,0.978370812
1.31E+07,0.978370549
1.31E+07,0.978370258
1.31E+07,0.978369944
1.31E+07,0.978369602
1.31E+07,0.978369232
1.31E+07,0.978368832
1.31E+07,0.978368405
1.31E+07,0.978367948
1.31E+07,0.978366946
1.31E+07,0.978366401
1.31E+07,0.978365827
1.31E+07,0.978364586
1.31E+07,0.978363921
1.31E+07,0.978363224
1.31E+07,0.978361738
1.31E+07,0.978360947
1.31E+07,0.978360126
1.31E+07,0.978358386
1.31E+07,0.978357467
1.31E+07,0.978356516
1.31E+07,0.978354515
1.31E+07,0.978353464
1.31E+07,0.97835238
1.31E+07,0.978350109
1.31E+07,0.978345153
1.31E+07,0.978343826
1.31E+07,0.978342463
1.31E+07,0.978339628
1.31E+07,0.978333518
1.31E+07,0.978331896
1.31E+07,0.978330237
1.31E+07,0.978326803
1.31E+07,0.978319466
1.31E+07,0.978317532
1.31E+07,0.978315558
1.31E+07,0.978311486
1.31E+07,0.978302844
1.31E+07,0.978283488
1.31E+07,0.978281045
1.31E+07,0.978278562
1.31E+07,0.978273476
1.31E+07,0.978262813
1.31E+07,0.978239452
1.31E+07,0.978236335
1.31E+07,0.978233173
1.31E+07,0.978226714
1.31E+07,0.978213243
1.31E+07,0.97818401
1.31E+07,0.978180135
1.32E+07,0.978176208
1.32E+07,0.978168203
1.32E+07,0.978151569
1.32E+07,0.978115719
1.32E+07,0.978110988
1.32E+07,0.9781062
1.32E+07,0.97809645
1.32E+07,0.978076249
1.32E+07,0.978032929
1.32E+07,0.978026748
1.32E+07,0.978020491
1.32E+07,0.978007748
1.32E+07,0.977981322
1.32E+07,0.977924569
1.32E+07,0.977917096
1.32E+07,0.977909535
1.32E+07,0.977894151
1.32E+07,0.97786231
1.32E+07,0.977794156
1.32E+07,0.977785202
1.32E+07,0.977776148
1.32E+07,0.977757739
1.32E+07,0.977719688
1.32E+07,0.977638454
1.32E+07,0.977453687
1.32E+07,0.977441918
1.32E+07,0.977430035
1.32E+07,0.977405921
1.32E+07,0.977356273
1.32E+07,0.977251069
1.32E+07,0.977237344
1.32E+07,0.977223488
1.32E+07,0.977195377
1.32E+07,0.97713753
1.32E+07,0.977015066
1.32E+07,0.976999099
1.32E+07,0.976982982
1.32E+07,0.97695029
1.32E+07,0.976883041
1.32E+07,0.976740768
1.32E+07,0.976422431
1.32E+07,0.976401349
1.32E+07,0.976380076
1.32E+07,0.976336946
1.32E+07,0.976248307
1.32E+07,0.976061101
1.32E+07,0.976036733
1.32E+07,0.976012144
1.32E+07,0.975962292
1.32E+07,0.975859842
1.32E+07,0.97564347
1.32E+07,0.975615305
1.32E+07,0.975586884
1.32E+07,0.975529262
1.33E+07,0.975410837
1.33E+07,0.97516069
1.33E+07,0.974602268
1.33E+07,0.974561363
1.33E+07,0.974520048
1.33E+07,0.974436177
1.33E+07,0.974263335
1.33E+07,0.973896218
1.33E+07,0.973848224
1.33E+07,0.973799745
1.33E+07,0.973701312
1.33E+07,0.973498394
1.33E+07,0.973067074
1.33E+07,0.973010653
1.33E+07,0.972953655
1.33E+07,0.9728379
1.33E+07,0.972599167
1.33E+07,0.972091244
1.33E+07,0.970939667
1.33E+07,0.970866364
1.33E+07,0.970792334
1.33E+07,0.970642066
1.33E+07,0.970332457
1.33E+07,0.969674992
1.33E+07,0.969589043
1.33E+07,0.969502226
1.33E+07,0.969325946
1.33E+07,0.96896251
1.33E+07,0.96818971
1.33E+07,0.968088582
1.33E+07,0.967986408
1.33E+07,0.96777887
1.33E+07,0.96735068
1.33E+07,0.966438806
1.33E+07,0.966319341
1.33E+07,0.966198608
1.33E+07,0.965953274
1.33E+07,0.965446687
1.33E+07,0.96436601
1.33E+07,0.964212272
1.33E+07,0.964056714
1.33E+07,0.963740034
1.33E+07,0.96308369
1.33E+07,0.961672815
1.33E+07,0.961486672
1.33E+07,0.96129825
1.33E+07,0.960914436
1.33E+07,0.960117972
1.33E+07,0.95840151
1.33E+07,0.958174611
1.33E+07,0.95794483
1.33E+07,0.957476451
1.34E+07,0.956503153
1.34E+07,0.954399539
1.34E+07,0.954120854
1.34E+07,0.953838488
1.34E+07,0.953262481
1.34E+07,0.952063662
1.34E+07,0.949464205
1.34E+07,0.949125341
1.34E+07,0.948781894
1.34E+07,0.948080949
1.34E+07,0.946620672
1.34E+07,0.943447787
1.34E+07,0.94302576
1.34E+07,0.942597763
1.34E+07,0.941723449
1.34E+07,0.939898549
1.34E+07,0.935917827
1.34E+07,0.935386785
1.34E+07,0.934847863
1.34E+07,0.93374581
1.34E+07,0.931440711
1.34E+07,0.930842492
1.34E+07,0.930235172
1.34E+07,0.928992555
1.34E+07,0.92639048
1.34E+07,0.925714546
1.34E+07,0.925028062
1.34E+07,0.923622641
1.34E+07,0.920676112
1.34E+07,0.914189196
1.34E+07,0.913376988
1.34E+07,0.912552323
1.34E+07,0.910864689
1.34E+07,0.907329421
1.34E+07,0.906410793
1.34E+07,0.905477712
1.34E+07,0.903567089
1.34E+07,0.899559922
1.34E+07,0.89851764
1.34E+07,0.897458532
1.34E+07,0.895288526
1.34E+07,0.890731729
1.34E+07,0.880667251
1.34E+07,0.87931212
1.34E+07,0.877933954
1.34E+07,0.875106637
1.34E+07,0.869154306
1.34E+07,0.867601206
1.34E+07,0.866021023
1.34E+07,0.862777161
1.34E+07,0.855938981
1.34E+07,0.854152833
1.34E+07,0.852334757
1.34E+07,0.848600128
1.34E+07,0.840717245
1.34E+07,0.823125377
1.34E+07,0.820535036
1.34E+07,0.817892088
1.34E+07,0.812443475
1.34E+07,0.800859509
1.34E+07,0.797812631
1.34E+07,0.794702597
1.34E+07,0.788287216
1.34E+07,0.774632528
1.34E+07,0.771037944
1.34E+07,0.767367694
1.34E+07,0.759793342
1.34E+07,0.743659511
1.34E+07,0.707029464
1.34E+07,0.70200315
1.34E+07,0.696870546
1.35E+07,0.686278106
1.35E+07,0.663725615
1.35E+07,0.657790397
1.35E+07,0.651732219
1.35E+07,0.639238927
1.35E+07,0.612690518
1.35E+07,0.605717409
1.35E+07,0.598606541
1.35E+07,0.583965548
1.35E+07,0.552971486
1.35E+07,0.48399623
1.35E+07,0.475345721
1.35E+07,0.466572649
1.35E+07,0.448666103
1.35E+07,0.411480648
1.35E+07,0.332493898
1.35E+07,0.322295626
1.35E+07,0.312049199
1.35E+07,0.291446982
1.35E+07,0.250080856
1.35E+07,0.169345753
1.35E+07,0.159705836
1.35E+07,0.150216145
1.35E+07,0.131750346
1.35E+07,0.122806015
1.35E+07,0.114075345
1.35E+07,0.097318622
1.35E+07,0.089324063
1.35E+07,0.081606005
1.35E+07,0.067059365
1.35E+07,0.060259704
1.35E+07,0.053794234
1.35E+07,0.041917409
1.35E+07,0.036530024
1.35E+07,0.031524637
1.35E+07,0.026911141
1.35E+07,0.022698482
1.35E+07,0.018894612
1.35E+07,0.015506443
1.35E+07,0.012539809
1.35E+07,0.009999431
1.35E+07,0.007888899
1.35E+07,0.006210647
1.35E+07,0.004965951
1.35E+07,0.004154925
1.35E+07,0.003776526
1.35E+07,0.003828571
1.35E+07,0.004307755
1.35E+07,0.005209682
1.35E+07,0.006657849
1.35E+07,0.008587673
1.35E+07,0.010989546
1.35E+07,0.013852612
1.35E+07,0.017164851
1.35E+07,0.020913174
1.35E+07,0.025083516
1.35E+07,0.029660941
1.35E+07,0.034629744
1.35E+07,0.039973553
1.35E+07,0.051718001
1.35E+07,0.058083504
1.35E+07,0.064753942
1.35E+07,0.07893689
1.35E+07,0.086412943
1.35E+07,0.094121183
1.35E+07,0.110162651
1.35E+07,0.144261307
1.35E+07,0.217025347
1.35E+07,0.226284612
1.35E+07,0.235542048
1.35E+07,0.254012848
1.35E+07,0.290540687
1.35E+07,0.360488774
1.35E+07,0.368849135
1.35E+07,0.377113448
1.35E+07,0.393345004
1.35E+07,0.424573444
1.35E+07,0.481916377
1.35E+07,0.488482331
1.35E+07,0.494946561
1.35E+07,0.507572654
1.35E+07,0.531639161
1.35E+07,0.537414446
1.35E+07,0.543095341
1.35E+07,0.554178568
1.35E+07,0.575264593
